"","text"
"59","lagu   tergiang  telinga ku "
"60","lindung     cinta  sebar   unduh pedulilindungi  unduh    henti sebar   indonesia ajar lengkap  link landing page"
"61","habis  go away mari  beemu  ngopi  ku tunggu  bangku tumpang sebelah kiriya bambank aseli kangen"
"62"," mochi kayak         selfisolating gabole  rumah enak lhoh mamam bobo main mamam  bobo  gendut deh gue ğÿ˜ğÿ˜    jemur    hlmn doang sok  stayathome  ya temenin  ğÿ˜ pictwittercomzdygedg"
"63","   hormat  main twitter  kalo usul lockdown ya mbok usul   pemerintah mbok ya  bawa orang   orang   kerja usaha  mutus rantai infeksi  kalo  lockdown mbok terap     rumah"
"64","oh iya   lupa syukur ya ğÿ˜ semoga allah lindung   wabah  stay safe kawan ğÿ˜š"
"65","sektor kerja  alami   turun  cabar ekonomi akibat   ditangani  baikpictwittercomydjmvtjm"
"66","   warga keluarga anggap  pnyakit  derita  plus dokter   vonis     trgolong "
"67","enggih ben hindar seko "
"68","nyata bilik desinfeksi  bahaya  who ââ â â alihalih steril tubuh    bilik desinfeksi  bahaya kasusehatangrid health â€"
"69"," rawat  tinggal pasien   tasikmalaya  duga papar  lembang â€ via"
"70"," tana shiga rayuwar masoyağÿ˜"
"71","but london    hai bahen stay indoor"
"72","cegah wabah   mako polda banten  semprot disinfektan â€ pictwittercomlcxovwyo"
"73","pikir  pikir berkalimgkin   apaapa kena  sakittp keluarga  drmah orang tua   main  initeruslah cari berita updatenyatapi  gampang makan hoax ya"
"74"," tuntas   masyarakat sadar   jaga sehat   bantu    sebar pasif   kasihan  orang desa    mudik   tau  papar   aparat   beindak  kompromi ğÿ’ğÿ’"
"75","besok senin     rumah   stayathomeandstaysafe"
"76","  ribu     cenderung bunuh orang   pnyakit bawa spi jantungdiabetesginjalhati   komplikasicoba   orang   mati  pnyakit bawa   januari     positif "
"77"," masyarakat gorontalo karantina gorontalo  covidtandatangani petisi "
"78","jemaah masjid jam bon jeruk dievakusi  rumah sakit darurat  wisma atlet mayor â€ via"
"79","  bahaya    manusia"
"80","peran prudential   wabah  listening understanding delivering     care  salah   peduli konsultasi gratis regards nino ardi amd prudential financialâ€ â€"
"81","aneh deh kayak    bikin chamber semprot disinfektan   tubuh manusia  disinfektan   nyemprot benda mati   bahaya  disinfektan  hirup  manusia  ya  deh mah kebal "
"82"," beranda andai nih ya kalo  korona bentuk manusia enak lu  "
"83","semoga  sentiasa lindung  wabak  â€"
"84","bad news my bos currently positive  doa     gaiss ğÿ˜"
"85","odppdp  beambah  lutra masyarakat  disiplin â€"
"86","best bajaajle that prevent covidpictwittercomeijruvml"
"87","   yuri jubir penanganan  pusat  semangat  fokus kerja  hirau nitizen membully nyata  wabah      rumah korban tewas  berjatuhanlawancovid â€"
"88"," keluarga  sepakat  putus   paksa  juni    semoga   selesai      keluarga   berani  kota"
"89"," musim   ramai  post pasal kucingpictwittercomukknenrqvo"
"90"," lockdown gratisanini berjalanhampir      biar  dampak local lockdown  sulit hidup rakyat    orang   latarbelakang  takut teular     diam  rumah "
"91"," malam gua mikir gua  kemanaharus ngapainmau tidur  tenang semenjak   gua     pemerintah  suruh  rumah  gua suntuk anjing stres banget"
"92"," deh  hero nak hapus  gais kah takkkkkkkburrrrrpictwittercomjtpkifkcc"
"93","microsoft azure resources data centernya alih  tanggulang coviduser    create vm   pei resourcesnya alih  microsoft teams  remote working  public service pei hospital and school they saidpictwittercomczunnqvot"
"94"," sumpa kaget  pas melek"
"95","  alam   cowok ama     urus kayak     udahan      tau kalo   pisah  iseng reply story    wajar  pokok    ketemu main bareng   sing bangsat  landa indonesia"
"96","wali kota sabang nazaruddin sikom putus sumbang  gaji    tim penanganan sebar     kota sabang acehlawancorona â€"
"97","why    share berita duka  tinggal orang  kena     menshare berita  orang   pulih    whyyyy kalo pandang gue   tuh share orang   sembuh      semangat  "
"98","kalo case    kelarkelar  tangis   kelarkelar    dokter gigiiiiikkkkkk akutuu ğÿ˜ğÿ"
"99","hivi ninaulizakwa nini serikali hamko consistent  updates   ya  hapa kwetuna juhudi zetu nafahamu kuwa mambo yanaweza kuwa yanakwenda vizuri lakini toeni official press conference  statements kama wanvyofanya wenzetu ili tuelewe tusio vibaya"
"100","peduli penanganan wabah   admin ig galang dana  beli apd"
"101","hahahaha lepas  habis"
"102","irwan djohan usul odp  karantina pusat  fasilitas militer â€ pictwittercomrjpwvgqi"
